Sat Nov 23 22:47:16 2024    /Users/haydentedrake/Desktop/UROP2024/pbh_mass/output.prof

         7689405 function calls (7644922 primitive calls) in 21.312 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3250    0.001    0.000    0.001    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/transforms.py:113(__init__)
      591    0.001    0.000    0.003    0.000 /opt/anaconda3/lib/python3.12/typing.py:175(_type_check)
    123/9    0.001    0.000    0.005    0.001 /opt/anaconda3/lib/python3.12/site-packages/pyparsing/core.py:3944(streamline)
     1194    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      775    0.001    0.000    0.002    0.000 /opt/anaconda3/lib/python3.12/inspect.py:176(get_annotations)
      576    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      204    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
     2642    0.001    0.000    0.170    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      726    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
       25    0.001    0.000    0.001    0.000 {built-in method unicodedata.name}
      428    0.001    0.000    0.002    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/artist.py:180(__init__)
       64    0.001    0.000    0.030    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/axis.py:59(__init__)
       68    0.001    0.000    0.011    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/patches.py:790(get_patch_transform)
     4434    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
     6975    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
     1773    0.001    0.000    0.002    0.000 /opt/anaconda3/lib/python3.12/typing.py:1215(__setattr__)
      726    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:445(cb)
       23    0.001    0.000    0.006    0.000 /opt/anaconda3/lib/python3.12/typing.py:2809(__new__)
     1258    0.001    0.000    0.002    0.000 /opt/anaconda3/lib/python3.12/site-packages/numpy/core/_ufunc_config.py:33(seterr)
      851    0.001    0.000    0.002    0.000 /opt/anaconda3/lib/python3.12/inspect.py:754(unwrap)
        8    0.001    0.000    0.001    0.000 {method '__copy__' of 'numpy.ndarray' objects}
     1413    0.001    0.000    0.001    0.000 /opt/anaconda3/lib/python3.12/site-packages/pyparsing/results.py:148(__new__)
      118    0.001    0.000    0.008    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/lines.py:671(recache)
     2688    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
     4922    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     1498    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     2900    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1226(__exit__)
     2863    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
    11383    0.001    0.000    0.001    0.000 /opt/anaconda3/lib/python3.12/logging/__init__.py:1790(isEnabledFor)
      317    0.001    0.000    0.006    0.000 /opt/anaconda3/lib/python3.12/site-packages/numpy/core/overrides.py:142(decorator)
      970    0.001    0.000    0.156    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       59    0.001    0.000    0.138    0.002 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/text.py:358(_get_layout)
      306    0.001    0.000    0.002    0.000 /opt/anaconda3/lib/python3.12/site-packages/numpy/core/fromnumeric.py:40(_wrapit)
    11188    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
       48    0.001    0.000    0.030    0.001 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/backend_bases.py:1311(__init__)
     2900    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
    11284    0.001    0.000    0.001    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/font_manager.py:1150(score_style)
     1296    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
     3492    0.001    0.000    0.001    0.000 /opt/anaconda3/lib/python3.12/inspect.py:3072(<genexpr>)
     6738    0.001    0.000    0.001    0.000 {method '__contains__' of 'frozenset' objects}
      218    0.001    0.000    0.048    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/artist.py:1421(__init__)
      979    0.001    0.000    0.016    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/__init__.py:715(__setitem__)
      102    0.001    0.000    0.001    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/transforms.py:2506(get_matrix)
    11284    0.001    0.000    0.001    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/font_manager.py:1214(score_size)
